animal,survival.time,group,status
1_1,12,con,1
1_2,42,con,1
1_3,42,con,1
1_4,42,con,1
1_5,35,con,1
1_6,42,con,1
2_1,19,il17,1
2_2,19,il17,1
2_3,29,il17,1
2_4,35,il17,1
2_5,36,il17,1
