week,luminescence (p/s),se,group
1,2.67E+06,1.54E+06,con
1,2.79E+06,1.03E+06,il17
2,1.06E+06,3.91E+05,con
2,6.15E+06,2.00E+06,il17
3,4.23E+06,3.69E+06,con
3,6.16E+06,5.18E+06,il17
4,5.53E+06,5.27E+06,con
4,5.55E+06,4.49E+06,il17
5,4.60E+06,4.17E+06,con
5,1.31E+06,1.10E+05,il17
6,9.19E+05,3.14E+05,con
6,NA,NA,il17
