week,luminescence,se,group
1,1.53E+04,6.94E+03,control
2,7.62E+03,1.77E+03,control
3,1.89E+04,1.65E+04,control
4,3.13E+04,2.92E+04,control
5,3.82E+04,2.93E+04,control
6,7.47E+03,1.05E+03,control
1,2.68E+04,8.64E+03,IL17
2,3.64E+04,1.10E+04,IL17
3,2.76E+04,2.24E+04,IL17
4,4.32E+04,2.35E+04,IL17
5,2.25E+04,5.25E+03,IL17
6,NA,NA,IL17
